temp_c,ligand,cat_loading,time_s,dG_OA,dG_TM,G_OA_TS,G_TM_TS,dG_boron_hydrolysis,G_Substrate,G_boron_species,k_OA,k_TM,dG_PdLArOH,G_precatalyst
65,PCy3,5.0,150,6.086055132094771,15.734588577179238,-1181204.038093594,-1399282.2787329652,0.0,-444181.7832208271,-459277.2946503733,821396234.204737,477.2639619023922,11.500260800123216,-1478592.123
65,PCy3,5.0,300,6.086055132094771,15.734588577179238,-1181204.038093594,-1399282.2787329652,0.0,-444181.7832208271,-459277.2946503733,821396234.204737,477.2639619023922,11.500260800123216,-1478592.123
65,PCy3,5.0,600,6.086055132094771,15.734588577179238,-1181204.038093594,-1399282.2787329652,0.0,-444181.7832208271,-459277.2946503733,821396234.204737,477.2639619023922,11.500260800123216,-1478592.123
65,PCy3,5.0,900,6.086055132094771,15.734588577179238,-1181204.038093594,-1399282.2787329652,0.0,-444181.7832208271,-459277.2946503733,821396234.204737,477.2639619023922,11.500260800123216,-1478592.123
65,PPh3,0.5,60,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,0.5,150,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,0.5,300,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,0.5,600,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,0.5,900,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,1.25,60,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,1.25,150,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,1.25,300,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,1.25,600,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
65,PPh3,1.25,900,6.258334213634953,8.619087598985061,-1174564.680653462,-1392647.905537871,0.0,-444181.7832208271,-459277.2946503733,635637755.097788,18943828.98664844,8.880080770235509,-1471953.059
