temperature_C,substrate,boron_species_BOH2,boron_species_BPin,ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-35.609469880815595,-32.54943666839972,-18.02386438474059,-3.814073127694428,-2.2239759573712945,-30.26077283732593,33.3854939234443,1bar
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-18.268215558491647,-28.641290080733597,-11.275368627626449,-10.33515295619145,-3.4616450355388224,-15.485358733218163,25.179645045194775,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-14.448258102405816,-25.56534614553675,-12.046851431485265,-10.106314334552735,-2.7724601603113115,-15.764416006859392,22.79288598522544,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-14.448258102405816,-27.793106163386256,-13.35581828886643,-11.139011290855706,-2.0803331807255745,-16.88305387366563,25.71277298266068,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-17.502319781575352,-36.80336869508028,-15.377531512640417,-11.827014110051095,-6.738679163623601,-27.5523497806862,30.06468953145668,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-18.029179187025875,-15.731276049278677,-7.79861964751035,-6.458739559631795,1.4518690113909543,-17.190626796800643,19.48104819841683,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-18.029179187025875,-20.003942559938878,-11.19082821905613,-6.915110319852829,1.6313944747671485,-16.96683937916532,21.635337034706026,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-19.788146160077304,-18.696695655584335,-12.465948446188122,-12.143703004810959,-6.5909019452519715,-33.77195185329765,13.197244214825332,1bar
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-15.061134120915085,-16.40902242437005,-8.714395926333964,-8.032395772635937,-0.4039678107947111,-15.667385603301227,16.00505461357534,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-16.74325313558802,-11.062251219525933,-8.974227242637426,-5.290948538575321,-0.653016206342727,-16.98208441119641,16.090236929245293,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-16.74325313558802,-13.544810481835157,-13.047082229051739,-10.291059732437134,-0.31805549934506416,-18.299652638379484,16.425197636242956,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-11.595000261440873,-24.058480639010668,-12.459531068336219,-8.769768480677158,-1.7561416472308338,-33.47055859770626,22.302338991779834,1bar
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-10.62337680766359,-16.64099658606574,-10.619734436273575,-12.505884002428502,1.8567929188720882,-21.66626906208694,18.497789504937828,1bar
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-10.62337680766359,-17.449456493370235,-14.023041265551,-11.286278396379203,1.5166615429334342,-29.94760177191347,18.96611803630367,1bar
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,1.8588360794819891,-23.104528876021504,-10.305206686723977,-9.429646667093039,5.558904041536152,-25.138716862536967,28.663432917557657,1bar
