temp_C,substrate,boron species (BOH2),boron species (BPin),ligand,case,dG_TM_react_8_kcal_mol,dG_TM_react_9_kcal_mol,dG_TM_reactant_10_kcal_mol,dG_TM_reactant_kcal_mol,dG_TM_TS_kcal_mol,dG_TM_product_kcal_mol,total_barrier_kcal_mol,standard_state
30,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case2,-28.843541155790984,-26.466048684414623,-13.26086238095358,-10.484435313602983,-4.1460415294748545,-12.174628131091595,24.69749962631613,1M
30,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,XPhos,case3,-28.843541155790984,-32.01205174948662,-18.581826715486198,-13.668333792349397,-4.948219181260169,-15.166484178043902,27.063832568226456,1M
30,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,XPhos,case4,-38.50561789911062,-44.0776812559703,-29.576728866191655,-29.26105354608789,-19.053637547174542,-42.43890736438334,25.024043708795755,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case1,-37.56732112650955,-32.117148441117436,-15.032630925692708,-11.875638077661485,-3.7149960544631777,-17.723318418953568,33.85232507204637,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PCy3,case2,-22.50512122472012,-24.527304564923227,-12.99466357256481,-12.535350712176502,-0.9288639511653183,-17.377996512223035,23.59844061375791,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PCy3,case3,-22.50512122472012,-33.472321658715785,-16.379225196011454,-14.32533003405863,-2.3214139832855163,-20.301682649180293,31.15090767543027,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PCy3,case4,-37.722798880815596,-36.77609466839972,-20.13719338474059,-5.927402127694428,-4.337304957371295,-30.26077283732593,33.3854939234443,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case1,-20.381544558491647,-32.8679480807336,-13.388697627626449,-12.44848195619145,-5.574974035538823,-15.485358733218163,27.292974045194775,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,PPh3,case2,-16.561587102405817,-29.79200414553675,-14.160180431485266,-12.219643334552735,-4.885789160311312,-15.764416006859392,24.90621498522544,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,PPh3,case3,-16.561587102405817,-32.019764163386256,-15.46914728886643,-13.252340290855706,-4.193662180725575,-16.88305387366563,27.82610198266068,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,PPh3,case4,-19.615648781575352,-41.03002669508028,-17.490860512640417,-13.940343110051096,-8.852008163623601,-27.5523497806862,32.17801853145668,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,AmPhos,case2,-20.142508187025875,-19.957934049278677,-9.91194864751035,-8.572068559631795,-0.6614599886090455,-17.190626796800643,19.48104819841683,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,AmPhos,case3,-20.142508187025875,-24.23060055993888,-13.30415721905613,-9.02843931985283,-0.4819345252328513,-16.96683937916532,23.748666034706027,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,AmPhos,case4,-21.901475160077304,-22.923353655584336,-14.579277446188122,-14.25703200481096,-8.704230945251972,-33.77195185329765,14.219122710332364,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case1,-17.174463120915085,-20.63568042437005,-10.827724926333964,-10.145724772635937,-2.517296810794711,-15.667385603301227,18.11838361357534,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,Catacxium_A,case2,-18.85658213558802,-15.288909219525934,-11.087556242637426,-7.404277538575322,-2.7663452063427267,-16.98208441119641,16.090236929245293,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,Catacxium_A,case3,-18.85658213558802,-17.771468481835157,-15.16041122905174,-12.404388732437134,-2.431384499345064,-18.299652638379484,16.425197636242956,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,Catacxium_A,case4,-13.708329261440873,-28.28513863901067,-14.572860068336219,-10.883097480677158,-3.8694706472308336,-33.47055859770626,24.415667991779834,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,RuPhos,case2,-12.73670580766359,-20.86765458606574,-12.733063436273575,-14.619213002428502,-0.2565360811279116,-21.66626906208694,20.611118504937828,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,RuPhos,case3,-12.73670580766359,-21.676114493370235,-16.136370265551,-13.399607396379203,-0.5966674570665655,-29.94760177191347,21.07944703630367,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,RuPhos,case4,-0.25449292051801065,-27.331186876021505,-12.418535686723978,-11.542975667093039,3.4455750415361526,-25.138716862536967,30.776761917557657,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case1,-15.317740829356104,,-14.914927830148578,-10.198906853489667,-1.8495246299282608,-24.772744204849005,13.468216199427843,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,SPhos,case2,6.359245173938483,-1.21269750953111,-3.8639346423299012,13.069058443259358,12.762781734883696,-10.594604345969856,16.626716377213597,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,SPhos,case3,6.359245173938483,-7.628144258488148,-1.5873414070085583,-2.2259026548565326,6.882015241615385,-14.668633425608277,14.510159500103534,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,SPhos,case4,-0.28445779920750836,-31.141189072601676,-13.662217491466642,-7.850721851151526,-0.5435147170648871,-31.228071546182036,30.59767435553679,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case1,-4.674332987211734,-6.947228697681978,-8.08098001980418,-3.887786199964672,4.767750635582864,-16.881911281030625,12.848730655387044,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,tBu3,case2,-11.64490576779665,-7.826862070564359,-10.177287041835577,-5.183119539331734,-0.15220521057219782,-17.245457116980106,11.492700557224452,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,tBu3,case3,-11.64490576779665,-11.956889375200674,-10.799236195322216,-5.714556259496227,2.433238032579333,-19.943803970701993,14.390127407780007,1M
50,2_chloropyridine,BOH2Ar_compound_9_as_BOH2_1-Boc-pyrrole-2-boronic_acid,BPinAr_compound_9_as_BPin_1-Boc-pyrrole-2-boronate,tBu3,case4,0.06191730739353618,-13.792606345931247,-6.570306150868625,-7.026780168686152,-4.73704571712026,-31.090404709801078,9.055560628810987,1M
50,3_bromoquinoline,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case1,-14.458952465720564,-22.182838354114622,-14.851458027187824,-2.22645619900161,4.7880050454548595,-14.47243527136743,26.970843399569482,1M
50,3_chloropyridine,BOH2Ar_compound_2_as_BOH2_35-dimethylisoxazole-4-boronic_acid,BPinAr_compound_2_as_BPin_35-dimethylisoxazole-4-boronate,XPhos,case2,-27.519289275325924,-24.102418714057833,-12.181039490431637,-9.389180033162326,-3.1164154593572913,-11.860040611121804,24.402873815968633,1M
50,3_chloropyridine,BOH2Ar_compound_6_benzofuran-2-boronic_acid,BPinAr_compound_6_benzofuran-2-boronate,XPhos,case3,-27.519289275325924,-29.676675288327218,-17.53693855476761,-12.670383451666773,-3.99782955103749,-14.95119832828641,25.678845737289727,1M
